Park,Location,Zip Code,Park_Class
PARK NO. 474,3231 W DOUGLAS BLVD,60616,PASSIVE PARK
RIVER ESPLANADE,401 E RIVER DR,60611,LINEAR PARK
OGDEN (WILLIAM) PLAZA,429 N COLUMBUS DR,60611,PASSIVE PARK
DUSABLE (JEAN BAPTISTE POINTE),401 N LAKE SHORE DR,60611,UNIMPROVED PARK
JONES (MARY RICHARDSON),1240 S PLYMOUTH CT,60616,NEIGHBORHOOD PARK
COTTON TAIL,44 W 15TH ST,60616,NEIGHBORHOOD PARK
TOM (PING) MEML.,300 W 18TH ST,60616,REGIONAL PARK
NASH (DON) COMM. CTR.,1833 E 71ST ST,60649,COMMUNITY PARK
"MADIGAN (MICHAEL J., SR.)",4701 W MARQUETTE RD,60638,COMMUNITY PARK
PARSONS (LUCY),4701 W BELMONT AVE,60641,MINI-PARK
KENNICOTT (JONATHAN),4434 S LAKE PARK AVE,60653,COMMUNITY PARK
WINNEMAC,5001 N LEAVITT ST,60625,NEIGHBORHOOD PARK
BRONCHO BILLY,4437 N MAGNOLIA AVE,60640,MINI-PARK
CHALLENGER,1100 W IRVING PARK RD,60613,LINEAR PARK
ARMSTRONG (LILLIAN HARDIN),4433 S ST LAWRENCE,60653,COMMUNITY PARK
KELLY (JOHN),3800 N SEMINARY AVE,60613,LINEAR PARK
WASHINGTON (HAROLD),5200 S HYDE PARK BLVD,60615,NEIGHBORHOOD PARK
"BOLER (LEO ROSCOE, SR.)",3601 W ARTHINGTON ST,60624,NEIGHBORHOOD PARK
STARR (ELLEN GATES),2306 W MAYPOLE AVE,60612,NEIGHBORHOOD PARK
WILSON (JOHN) COMM. CTR.,3225 S RACINE AVE,60608,COMMUNITY PARK
"BENIAC (JOHN ""BEANS"") GREENWAY",3925 E 104TH ST,60617,LINEAR PARK
CANAL ORIGINS,2701 S ASHLAND AVE,60608,LINEAR PARK
WEBSTER (DANIEL),1401 S INDIANA AVE,60605,PASSIVE PARK
PARK NO. 514,1434 N MONTICELLO AVE,60651,PASSIVE PARK
ALGONQUIN,2941 N WASHTENAW AVE,60618,MINI-PARK
PARK NO. 500,730 S SPRINGFIELD AVE,60624,NEIGHBORHOOD PARK
SCHAFER (CLARA D.),8900 S GREEN BAY AVE,60617,PASSIVE PARK
COLISEUM,1466 S WABASH AV,60605,NEIGHBORHOOD PARK
RENAISSANCE,1300 W 79TH ST,60620,PASSIVE PARK
LIVINGSTON FIELD,2139-59 W. LEXINGTON ST,60612,NEIGHBORHOOD PARK
WARD (A. MONTGOMERY),630 N KINGSBURY AVE,60610,NEIGHBORHOOD PARK
PARK NO. 512,1800 N ASHLAND AVE,60614,PASSIVE PARK
MANDRAKE (HENRY BROWN),900 E PERSHING RD.,60653,COMMUNITY PARK
NOTTINGHAM,7101 W 63RD ST,60638,PASSIVE PARK
WASHINGTON (HAROLD) MEM.,7710 N PAULINA ST,60626,MINI-PARK
HOMAN SQUARE COMMUNITY CENTER,3517 W ARTHINGTON ST,60624,COMMUNITY PARK
CANALPORT RIVERWALK,2900 S ASHLAND AVE,60608,LINEAR PARK
PARK NO. 517,5914-24 N SHERIDAN RD,60660,PASSIVE PARK
TRIANGLE,1750 W JUNEWAY TER,60626,PASSIVE PARK
PARK NO. 519,1944 S ST LOUIS AVE,60623,MINI-PARK
PALMER (BERTHA HONORÃ‰),916 N HONORE ST,60622,MINI-PARK
WARNER GARDEN,1426 W WARNER AVE,60613,PASSIVE PARK
WANG (CHI CHE),1719 W WOLFRAM ST,60657,NEIGHBORHOOD PARK
STEELWORKERS,E 87TH ST AT THE LAKE,60617,PASSIVE PARK
HARRIS (HARRIET),6200 S DREXEL AVE,60637,COMMUNITY PARK
STONE (BERNARD L.),3140 W PETERSON AVE,60659,LINEAR PARK
PARK NO. 527,6200 S LaSALLE ST,60621,UNIMPROVED PARK
PARK NO. 528,6336 S KILBOURN AVE,60629,NEIGHBORHOOD PARK
PARK NO. 529,2155 W WABANSIA AVE,60647,PASSIVE PARK
DALEY (RICHARD J.),3150 S WESTERN AVE,60608,PASSIVE PARK
PALMISANO (HENRY),2850 S HALSTED ST,60608,COMMUNITY PARK
PRINTERS ROW,640 S FEDERAL ST,60605,PASSIVE PARK
"WILLIAMS-DAVIS (HATTIE KAY,IZORA)",4101 S. LAKE PARK AVE,60653,NEIGHBORHOOD PARK
NORTH PARK NATURE CENTER,5801 N PULASKI RD,60646,NATURE PRESERVE PARK
PARK NO. 534,1300 S ST LOUIS AVE,60623,NEIGHBORHOOD PARK
PARK NO. 535,800 W WISCONSIN ST,60614,MINI-PARK
PARK NO. 536,1401 N NOBLE ST,60622,PASSIVE PARK
HERITAGE GREEN,610-30 W ADAMS ST,60661,PASSIVE PARK
PARK NO. 538,6400 N KEDZIE,60645,LINEAR PARK
PALMER SQUARE,2200 N KEDZIE AVE,60647,COMMUNITY PARK
PARK NO. 540,2401 S FEDERAL ST,60616,NEIGHBORHOOD PARK
PRITZKER,301-52 S STATE ST,60604,PASSIVE PARK
BARTELME (MARY),115 S. SANGAMON ST,60602,NEIGHBORHOOD PARK
KLEIN (LOIS),3538-40 N LINCOLN AVE,60657,PASSIVE PARK
PARK NO. 546,450 E BENTON PL,60611,NEIGHBORHOOD PARK
BATTLE OF FORT DEARBORN,1801 S CALUMET AVE,60616,PASSIVE PARK
LOGAN SQUARE SKATE PARK,2430 W LOGAN BLVD,60647,NEIGHBORHOOD PARK
CHICAGO WOMEN'S PARK AND GARDENS,1801 S INDIANA AVE,60616,NEIGHBORHOOD PARK
PARK NO. 551,353 N DES PLAINES ST,60661,NEIGHBORHOOD PARK
PARK NO. 552,4901 W BELMONT AVE,60641,PASSIVE PARK
LA VILLITA,2800 S SACRAMENTO AVE,60608,COMMUNITY PARK
ADAMS (GEORGE & ADELE),1919 N SEMINARY AVE,60614,NEIGHBORHOOD PARK
DE BURGOS (JULIA),1805 N ALBANY AVE,60647,NEIGHBORHOOD PARK
SAUGANASH TRAIL,4400 W DEVON AVE,60626,LINEAR PARK
PARK NO. 556,2529 W LOGAN BLVD,60647,PASSIVE PARK
NORTH BOUNDARY,7211-7355 N KEDZIE AVE,60645,LINEAR PARK
KING (PATRICK)-LOCKHART (ANTHONY),10609-15 S WESTERN AVE,60643,PASSIVE PARK
PARK NO. 559,6151 N SHERIDAN RD,60660,PASSIVE PARK
WHITE (JESSE),410 W CHICAGO AVE,60654,COMMUNITY PARK
ANDERSON (FRED),1629 S WABASH,60616,PASSIVE PARK
BYRNES (MARIAN),1735-37 E 96TH ST,60643,NATURE PRESERVE PARK
HEGEWISCH MARSH,13000 S TORRENCE AVE,60633,NATURE PRESERVE PARK
BIG MARSH,11555 S STONY ISLAND AVE,60617,NATURE PRESERVE PARK
PARK NO. 566,7901 S FARRAGUT,60617,UNIMPROVED PARK
PARK NO. 567,1799 N MILWAUKEE AVE,60647,PASSIVE PARK
WEST RIDGE NATURE PARK,5601 N WESTERN AVE,60659,NATURE PRESERVE PARK
PARK NO. 569,1358 W MONROE ST,60607,PASSIVE PARK
DONAHUE (MARGARET),1230 W SCHOOL ST,60657,MINI-PARK
PARK NO. 571,2754-2860 S ELEANOR ST,60608,NEIGHBORHOOD PARK
PARK NO. 573,701 E 114TH ST,60628,PASSIVE PARK
PARK NO. 574,2540 W JACKSON BLVD,60612,NEIGHBORHOOD PARK
PARK NO. 576,2100 E 134TH ST,60633,NATURE PRESERVE PARK
TREBES,2250 N CLIFTON AVE,60614,NEIGHBORHOOD PARK
MORGAN PARK SPORTS CENTER,11505 S. WESTERN AV,60643,COMMUNITY PARK
PARK NO. 578,1919 W MAYPOLE AVE,60612,NEIGHBORHOOD PARK
PARK NO. 580,4030 N OAK PARK AVE,60634,NEIGHBORHOOD PARK
PARK NO. 581,11625 S OAKLEY AVE,60643,PASSIVE PARK
RAINBOW BEACH,2873 E 75TH ST,60649,CITYWIDE PARK
CLARENDON COMM. CTR.,4501 N CLARENDON AVE,60640,COMMUNITY PARK
BEILFUSS (ALBERT W.),1725 N SPRINGFIELD AVE,60647,NEIGHBORHOOD PARK
SHERWOOD (JESSE),5705 S SHIELDS AVE,60621,COMMUNITY PARK
BRADLEY (JOSEPHINE),9729 S YATES AVE,60617,NEIGHBORHOOD PARK
BLOCK (EUGENE H.),346 W 104TH ST,60628,PASSIVE PARK
COMMERCIAL CLUB PGD. of CHICAGO,1845 W RICE ST,60622,COMMUNITY PARK
HERMITAGE,5839 S WOOD ST,60636,NEIGHBORHOOD PARK
KENWOOD COMM.,1330 E 50TH ST,60615,COMMUNITY PARK
LAWLER (MICHAEL),5210 W 64TH ST,60638,COMMUNITY PARK
O'HALLAREN (BERNARD),8335 S HONORE ST,60620,COMMUNITY PARK
LEONE (SAM) BEACH,1222 W TOUHY AVE,60626,COMMUNITY PARK
SMITH (JOSEPH HIGGINS),2526 W GRAND AVE,60612,COMMUNITY PARK
STROHACKER (HOWARD),4347 W 54TH ST,60632,NEIGHBORHOOD PARK
ANDERSON (LOUIS),3748 S PRAIRIE AVE,60653,COMMUNITY PARK
AUGUSTA (CARPENTER),4431 W AUGUSTA BLVD,60651,NEIGHBORHOOD PARK
BARRETT (JOHN),2022 W CERMAK RD,60608,NEIGHBORHOOD PARK
BOSLEY (WILLIAM),3044 S BONFIELD ST,60608,NEIGHBORHOOD PARK
DONOVAN (GEORGE),3620 S LITUANICA AVE,60609,NEIGHBORHOOD PARK
FOSCO (PETER),1313 S THROOP ST,60608,NEIGHBORHOOD PARK
"TAYLOR-LAURIDSEN (JOHN, EMIL)",647 W ROOT ST,60609,NEIGHBORHOOD PARK
CLARK (JOHN),4615 W JACKSON BLVD,60644,NEIGHBORHOOD PARK
DEAN (JOHN),1356 N DEAN ST,60622,NEIGHBORHOOD PARK
MICEK (FRANK),5311 S HAMILTON AVE,60609,NEIGHBORHOOD PARK
GROSS (THEODORE),2708 W LAWRENCE AVE,60625,NEIGHBORHOOD PARK
HAAS (JOSEPH),2402 N WASHTENAW AVE,60647,NEIGHBORHOOD PARK
HARDING (GEORGE),4912 S CALUMET AVE,60615,NEIGHBORHOOD PARK
HORAN (ALBERT),3035 W VAN BUREN ST,60612,NEIGHBORHOOD PARK
HOYNE (THOMAS),3417 S HAMILTON AVE,60608,NEIGHBORHOOD PARK
DURSO (JOHN),421 W LOCUST ST,60610,NEIGHBORHOOD PARK
INDIAN ROAD,6010 W MATSON AVE,60646,NEIGHBORHOOD PARK
KEDVALE,4140 W HIRSCH ST,60651,NEIGHBORHOOD PARK
KELLS (GEORGE),3201 W CHICAGO AVE,60624,NEIGHBORHOOD PARK
DEGEORGE (BERNICE),4905 W WABANSIA AVE,60639,MINI-PARK
KENSINGTON,345 E 118TH ST,60628,NEIGHBORHOOD PARK
KEN-WELL,2945 N KENOSHA AVE,60641,NEIGHBORHOOD PARK
WHITE (WILLYE B.),7631 N ASHLAND AVE,60626,COMMUNITY PARK
LOWE (SAMUEL),5203 S LOWE AVE,60609,NEIGHBORHOOD PARK
MAPLEWOOD,1640 N MAPLEWOOD AVE,60647,NEIGHBORHOOD PARK
MARSHFIELD,1637 W 87TH ST,60620,NEIGHBORHOOD PARK
GARIBALDI (GIUSEPPI),1520 W POLK ST,60607,NEIGHBORHOOD PARK
MEMORIAL,149 W 73RD ST,60621,NEIGHBORHOOD PARK
MEYERING (WILLIAM),7140 S DR MARTIN LUTHER KING J,60619,NEIGHBORHOOD PARK
MOORE (MAURICE),5085 W ADAMS ST,60644,NEIGHBORHOOD PARK
MORAN (TERRANCE),5727 S RACINE AVE,60621,NEIGHBORHOOD PARK
MUNROE,2617 W 105TH ST,60655,COMMUNITY PARK
MURRAY (DAVID),1743 W 73RD ST,60636,NEIGHBORHOOD PARK
NORMANDY,6660 W 52ND ST,60638,NEIGHBORHOOD PARK
LITTLE VENICE,2251 W 50TH PL,60609,NEIGHBORHOOD PARK
PARK-VIEW,3823 W SCHOOL ST,60618,NEIGHBORHOOD PARK
PASCHEN (CHRISTIAN),1932 W LUNT AVE,60626,NEIGHBORHOOD PARK
PIETROWSKI (SYLVESTER),9650 S AVENUE M,60617,NEIGHBORHOOD PARK
MCKIERNAN (DAVID),10714 S SAWYER AVE,60655,NEIGHBORHOOD PARK
SCHREIBER,1552 W SCHREIBER AVE,60626,NEIGHBORHOOD PARK
"KUCINSKI-MURPHY (VICKI, ROSEBETH)",1635 W 33RD PL,60608,NEIGHBORHOOD PARK
BACK OF THE YARDS,4920 S THROOP ST,60609,NEIGHBORHOOD PARK
TILTON (GEORGE),305 N KOSTNER,60624,NEIGHBORHOOD PARK
DOBSON,7521 S DOBSON AVE,60619,MINI-PARK
"TOUHY-HERBERT (JOHN, VICTOR)",2106 W ADAMS ST,60612,NEIGHBORHOOD PARK
LIMAS (JULIANN HOPE),2410 S TRUMBULL AVE,60623,MINI-PARK
VETERANS' MEMORIAL,2820 E 98TH ST,60617,NEIGHBORHOOD PARK
WAGNER (CLARENCE),948 W 51ST ST,60609,NEIGHBORHOOD PARK
WALLACE,607 W 92ND ST,60620,NEIGHBORHOOD PARK
WASHTENAW,2521 S WASHTENAW AVE,60608,NEIGHBORHOOD PARK
WILSON (JOHN),1122 W 34TH PL,60608,NEIGHBORHOOD PARK
ELSTON (DANIEL),3461 N TROY ST,60618,MINI-PARK
WOLFE (RICHARD),3325 E 108TH ST,60617,NEIGHBORHOOD PARK
WOODHULL (ROSS),7340 S EAST END AVE,60649,NEIGHBORHOOD PARK
WRIGHTWOOD,2534 N GREENVIEW AVE,60614,NEIGHBORHOOD PARK
LANGDON (MARY MARGARET),1754 W ALBION AVE,60626,MINI-PARK
ANDERSONVILLE,5233 N ASHLAND AVE,60640,MINI-PARK
KRAUSE (FRANCIS VERNON),10558 S AVENUE L,60617,MINI-PARK
EMERALD,5600 S EMERALD AVE,60621,MINI-PARK
WESOLEK (MARLENE),13407 S AVENUE M,60633,MINI-PARK
BIXLER (RAY),5641 S KENWOOD AVE,60637,NEIGHBORHOOD PARK
BUENA CIRCLE,1049  W BUENA,60613,NEIGHBORHOOD PARK
CARMEN,1224 W CARMEN AVE,60640,MINI-PARK
CARPENTER (PHILO),6155 S CARPENTER ST,60621,MINI-PARK
CENTRAL,721 N CENTRAL PARK AVE,60624,MINI-PARK
CHRISTIANA,1533 S CHRISTIANA AVE,60623,MINI-PARK
KORCZAK (JANUSZ),6156 N CLAREMONT AVE,60659,MINI-PARK
CLYBOURN (ARCHIBALD),1755 N CLYBOURN AVE,60614,MINI-PARK
DAVIS (MARGARET),5427 W DIVISION ST,60651,MINI-PARK
FELLGER (CHARLES),2012 W BELMONT AVE,60618,NEIGHBORHOOD PARK
GLADYS (GUNDERSON),3307 W GLADYS AVE,60624,MINI-PARK
GRAND,3531 W GRAND AVE,60651,MINI-PARK
HARDING (FREDERICK),3921 W DIVISION ST,60651,MINI-PARK
ZATTERBERG (HELEN),4246 N HERMITAGE AVE,60613,MINI-PARK
HOMAN (JOSEPH),2148 S HOMAN AVE,60623,MINI-PARK
HUBBARD (GURDON),4950 W HUBBARD ST,60644,MINI-PARK
HANSBERRY (LORRAINE),5635 S INDIANA AVE,60637,MINI-PARK
JACKSON (ROBERT),4319 S INDIANA AVE,60653,MINI-PARK
JEFFERSON (THOMAS),1630 S JEFFERSON ST,60616,NEIGHBORHOOD PARK
KEELER (CYRUS),1243 S KEELER AVE,60623,MINI-PARK
KENMORE,3141 N KENMORE AVE,60657,MINI-PARK
KEYSTONE,1655 N KEYSTONE AVE,60639,MINI-PARK
LANGLEY,700 E 113TH ST,60628,NEIGHBORHOOD PARK
THUIS (GRACE ZWIEFKA),4800 N LAVERGNE AVE,60630,NEIGHBORHOOD PARK
LONDON (LOUIS),3432 W 18TH ST,60623,MINI-PARK
HUMBERT (JAMES),632 W 31ST ST,60616,MINI-PARK
LUELLA,10021 S LUELLA AVE,60617,NEIGHBORHOOD PARK
"LUNT (ORRINGTON, STEPHEN)",2239 W LUNT AVE,60645,MINI-PARK
MERRYMAN (THERON),3736 N MARSHFIELD AVE,60613,MINI-PARK
MERRILL (GEORGE),2131 E 96TH ST,60617,NEIGHBORHOOD PARK
MILLARD (ALDEN),1331 S MILLARD AVE,60623,MINI-PARK
MILLER (SAMUEL),848 S MILLER ST,60607,MINI-PARK
MONTGOMERY (MABEL),2632 W 66TH ST,60629,MINI-PARK
MONTICELLO,1814 N MONTICELLO AVE,60647,MINI-PARK
MORGAN (THOMAS LEEDS) FIELD,11710 S MORGAN ST,60643,NEIGHBORHOOD PARK
NELSON (ANDREW),2953 W NELSON ST,60618,MINI-PARK
WEISMAN (ALBERT),901 W OAKDALE AVE,60657,MINI-PARK
OAKLEY,6441 S OAKLEY AVE,60636,MINI-PARK
OHIO & HARDING,607 N HARDING AVE,60624,MINI-PARK
OHIO,4712 W OHIO ST,60644,MINI-PARK
BRYNFORD,5640 N PULASKI RD,60646,MINI-PARK
SUPERA (LOUIS),2528 N RACINE AVE,60614,MINI-PARK
WENDT (KENNETH),667 W ROSCOE ST,60657,MINI-PARK
SACRAMENTO,3520 N SACRAMENTO AVE,60618,NEIGHBORHOOD PARK
SCHAEFER (EDWARD),2415 N MARSHFIELD AVE,60614,MINI-PARK
SAINT LOUIS,347 N ST LOUIS AVE,60624,MINI-PARK
SUPERIOR,2101 W SUPERIOR ST,60612,MINI-PARK
SUMMERDALE,7262 W SUMMERDALE AVE,60656,MINI-PARK
TILL-MOBLEY (MAMIE),6410 S ELLIS AVE,60637,MINI-PARK
SINTIC (GREGORY),2835 S WALLACE ST,60616,MINI-PARK
MCKEON (JOSEPH),600 W 36TH ST,60609,MINI-PARK
MASON (ELIZABETH),4100 W WEST END AVE,60624,NEIGHBORHOOD PARK
WESTERN,907 N WESTERN AVE,60622,MINI-PARK
PARK WEST,745 W WRIGHTWOOD AVE,60614,MINI-PARK
ADAMS (JOHN C.),7535 S DOBSON AVE,60619,PASSIVE PARK
CONNORS (WILLIAM),871 N WABASH AVE,60611,PARKWAYS PARK
ARCADE,11144 S ST LAWRENCE AVE,60628,PASSIVE PARK
AUBURN,406 W WINNECONNA PKWY,60620,PASSIVE PARK
LEVIN (JOHN),462 N PINE AVE,60644,COMMUNITY PARK
AUSTIN (HENRY),5951 W LAKE ST,60644,LINEAR PARK
BARNARD (AMY L.),10441 S LONGWOOD DR,60643,NEIGHBORHOOD PARK
MID-NORTH,401 W BELDEN AVE,60614,PARKWAY PARK
BICKERDIKE (GEORGE) SQUARE,1438 W OHIO ST,60622,PASSIVE PARK
CHAMBERLAIN TRIANGLE,4233 S GREENWOOD AVE,60653,PARKWAY PARK
MULBERRY POINT,5873 N NINA AVE,60631,PARKWAY PARK
DIXON (LORRAINE),8931 S DAUPHIN AVE,60619,LINEAR PARK
DICKINSON (ARTHUR),4117 N LAVERGNE AVE,60641,NEIGHBORHOOD PARK
GREEN (JEFFREY),6500 N ALGONQUIN AVE,60646,NEIGHBORHOOD PARK
ELLIS (SAMUEL),600 E 37TH ST,60653,COMMUNITY PARK
EUGENIE TRIANGLE,1707 N LA SALLE ST,60614,PARKWAY PARK
MARIANO (LOUIS),1031 N RUSH ST,60611,PARKWAY PARK
FERNWOOD PKWY.,9501 S EGGLESTON AVE,60628,LINEAR PARK
HODES (BARNET),1607 E 73RD ST,60649,PASSIVE PARK
KINZIE (JOHN) PKWY.,5200 W KINZIE ST,60644,LINEAR PARK
LILY GARDENS,632 W 71ST ST,60621,LINEAR PARK
"MELLIN (CURTIS, SR.)",1600 W BRYN MAWR AVE,60640,MINI-PARK
MYRTLE GROVE,6113 N NEVA AVE,60631,PASSIVE PARK
ADDAMS (JANE) MEML.,485 E OHIO ST,60611,PASSIVE PARK
HARRIS (RYAN) MEMORIAL,6701 S LOWE AVE,60621,LINEAR PARK
NORWOOD CIRCLE,7117 W PETERSON AVE,60631,PASSIVE PARK
PULLMAN (GEORGE),11113 S COTTAGE GROVE AVE,60628,PASSIVE PARK
CENTENNIAL,6086 N NORTHWEST HWY,60631,PASSIVE PARK
BUTTERNUT,5324 S WOODLAWN AVE,60615,MINI-PARK
SENECA,228 E CHICAGO AVE,60611,NEIGHBORHOOD PARK
WASHINGTON SQUARE,901 N CLARK ST,60610,PASSIVE PARK
HARTIGAN (DAVID) BEACH,1040 W ALBION AVE,60626,NEIGHBORHOOD PARK
DORIA (HELEN) BEACH,1040 W COLUMBIA AVE,60626,PASSIVE PARK
FARGO (JAMES) BEACH,1300 W FARGO AVE,60626,PASSIVE PARK
BERGER (ALBERT),6227 N SHERIDAN RD,60660,NEIGHBORHOOD PARK
HOWARD (URE) BEACH,1300 W HOWARD ST,60626,NEIGHBORHOOD PARK
GRIFFIN (MARION MAHONY),1234 W JARVIS AVE,60626,NEIGHBORHOOD PARK
PARK NO. 593,4546 N KEDVALE AVE,60630,UNIMPROVED PARK
JUNEWAY BEACH,7751 N EASTLAKE TER,60626,NEIGHBORHOOD PARK
NORTH SHORE BEACH,1040 W NORTH SHORE AVE,60626,PASSIVE PARK
PRINZ (TOBEY) BEACH,1050 W PRATT BLVD,60626,PASSIVE PARK
ROGERS (PHILLIP) BEACH,7705 N EASTLAKE TERRACE,60626,NEIGHBORHOOD PARK
LANE (GEORGE) BEACH,1000 W THORNDALE AVE,60660,PASSIVE PARK
LYLE (JOHN),7700 S WALLACE ST,60620,LINEAR PARK
MIDWAY PLAISANCE,5950 S WOODLAWN AVE,60637,LINEAR PARK
JONQUIL,1023 W WRIGHTWOOD AVE,60614,NEIGHBORHOOD PARK
SUMAC,4201 S CHAMPLAIN AVE,60653,MINI-PARK
SYCAMORE,5109 S GREENWOOD AVE,60615,NEIGHBORHOOD PARK
CHESTNUT,7005 S DANTE AVE,60637,MINI-PARK
EVERGREEN,631 W BELMONT AVE,60657,MINI-PARK
CLOVER,2210 N SOUTHPORT AVE,60614,MINI-PARK
RUIZ (IRMA C.),3801 W 45TH ST,60632,NEIGHBORHOOD PARK
CEDAR,5315 N WINTHROP AVE,60640,MINI-PARK
AIELLO (JOHN),2133 N MCVICKER AVE,60639,MINI-PARK
FILBERT,1822 W LARCHMONT AVE,60613,MINI-PARK
MAPLE,2047 N SPAULDING AVE,60647,MINI-PARK
MULBERRY,3150 S ROBINSON CT,60608,NEIGHBORHOOD PARK
PARK NO. 591,3906 S LAKE PARK AVE,60653,PASSIVE PARK
LEE (JOHN),3700 W 87TH ST,60652,MINI-PARK
PINE,9507 S OGLESBY AVE,60617,MINI-PARK
JACOLIK (FLORIAN S.),2731 S ELEANOR ST,60608,MINI-PARK
PARK NO. 565,11600 S TORRENCE AVE,60617,NATURE PRESERVE PARK
BLOOMINGDALE TRAIL,1601-3701 W BLOOMINGDALE AVE,60647,LINEAR PARK
PARK NO. 582,9202-35 S VANDERPOEL AVE,60643,UNIMPROVED PARK
PARK NO. 583,10108 S EXCHANGE AVE,60617,MINI-PARK
PARK NO. 585,6049 S WHIPPLE ST,60629,UNIMPROVED PARK
PARK NO. 586,7208 S MAPLEWOOD AVE,60629,UNIMPROVED PARK
PARK NO. 587,658 E 95th ST,60619,UNIMPROVED PARK
PARK NO. 584,134 W 119th ST,60628,MINI-PARK
PARK NO. 588,10440-44 S CORLISS AVE,60628,MINI-PARK
PARK NO. 595,247 W 128TH ST,60628,NATURE PRESERVE PARK
PARK NO. 594,3159 S HALSTED ST,60608,UNIMPROVED PARK
PARK NO. 589,227 W 110TH PL,60628,UNIMPROVED PARK
PARK NO. 590,3938-40 S INDIANA AVE,60653,PASSIVE PARK
PARK NO. 592,4149-53 S VINCENNES AVE,60653,PASSIVE PARK
PARK NO. 596,4830 S WESTERN AVE,60632,UNIMPROVED PARK
PARK NO. 597,12500 S TORRENCE AVE,60633,NATURE PRESERVE PARK
PARK NO. 598,1514 N LARRABEE ST,60610,UNIMPROVED PARK
